condition,sweep,food_site_count,food_site_width,food_site_capacity,food_value,seeds,mean_final_recruitment_advantage,median_final_recruitment_advantage,mean_tail_recruitment_advantage,median_tail_recruitment_advantage,useful_fraction,mean_final_directional_bias,mean_final_receiver_attention,mean_final_success,mean_final_payoff,mean_tail_follower_success_rate,mean_tail_matched_searcher_success_rate,mean_tail_dance_follow_share
hard,anchor,1,0.080000,6,1.000000,50,0.054285,0.049672,0.056565,0.054323,0.640000,0.374907,0.413726,0.010223,0.001000,0.078601,0.022036,0.406169
baseline,anchor,2,0.200000,6,1.000000,50,0.224207,0.222515,0.223962,0.223992,1,0.877282,0.890850,0.190798,0.638290,0.335345,0.111383,0.879669
easy,anchor,8,0.500000,6,1.000000,50,0.122079,0.121972,0.118621,0.119924,1,0.529874,0.493493,0.723621,7.504726,0.797063,0.678442,0.486181
sites_1,site_count,1,0.200000,6,1.000000,50,0.194601,0.216646,0.187640,0.194266,1,0.660794,0.670402,0.063813,0.010006,0.242664,0.055023,0.623205
sites_2,site_count,2,0.200000,6,1.000000,50,0.224207,0.222515,0.223962,0.223992,1,0.877282,0.890850,0.190798,0.638290,0.335345,0.111383,0.879669
sites_3,site_count,3,0.200000,6,1.000000,50,0.205975,0.205575,0.203487,0.204657,1,0.856220,0.849966,0.246885,1.346974,0.364148,0.160661,0.843048
sites_4,site_count,4,0.200000,6,1.000000,50,0.185441,0.184369,0.186162,0.186830,1,0.836644,0.830645,0.293119,1.938875,0.391690,0.205528,0.823316
sites_6,site_count,6,0.200000,6,1.000000,50,0.155716,0.155310,0.153878,0.155654,1,0.795076,0.769879,0.367768,2.889302,0.443805,0.289927,0.753663
sites_8,site_count,8,0.200000,6,1.000000,50,0.130057,0.131185,0.128089,0.127897,1,0.707053,0.656425,0.424561,3.619553,0.492737,0.364648,0.635921
width_0.08,patch_width,2,0.080000,6,1.000000,50,0.057979,0.054537,0.056487,0.052544,0.580000,0.398096,0.372633,0.024309,0.001000,0.093364,0.036877,0.387447
width_0.15,patch_width,2,0.150000,6,1.000000,50,0.178015,0.179339,0.175252,0.180272,1,0.875697,0.888693,0.132793,0.098635,0.259871,0.084619,0.875214
width_0.20,patch_width,2,0.200000,6,1.000000,50,0.224207,0.222515,0.223962,0.223992,1,0.877282,0.890850,0.190798,0.638290,0.335345,0.111383,0.879669
width_0.30,patch_width,2,0.300000,6,1.000000,50,0.292747,0.293360,0.292950,0.293169,1,0.853222,0.858399,0.287028,1.850248,0.453938,0.160988,0.844799
width_0.50,patch_width,2,0.500000,6,1.000000,50,0.349641,0.350747,0.349416,0.351742,1,0.797970,0.816173,0.426473,3.613581,0.593861,0.244445,0.801112
