seed,comparison_group,outcome,stable_vertical_gravity,reached_gravity,retained_vertical,collapsed,gravity_reach_generation,vertical_reach_generation,partial_tilt_generation,partial_transposition_generation,max_comb_tilt,max_comb_tilt_generation,max_min_transposition,max_min_transposition_generation,min_success,min_success_generation,final_directional_bias,final_attention,final_sender_transposition,final_receiver_transposition,final_min_transposition,final_transposition_gap,final_comb_tilt,final_success,final_payoff,elapsed_seconds
96,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,42,0.493,29,0.383,54,0.164,0,0.660,0.806,0.114,0.210,0.114,0.096,0.369,0.577,5.730,185.849
97,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,27,0.468,111,0.331,112,0.173,0,0.848,0.814,0.248,0.230,0.230,0.018,0.357,0.571,5.685,188.098
98,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,39,0.475,31,0.343,53,0.158,0,0.807,0.783,0.164,0.171,0.164,0.006,0.222,0.585,5.688,186.577
99,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,15,0.443,109,0.291,28,0.162,0,0.662,0.895,0.243,0.206,0.206,0.036,0.292,0.588,5.798,179.004
100,successful,success,true,true,true,false,73,49,25,33,0.918,89,0.872,89,0.172,0,0.558,0.780,0.758,0.850,0.758,0.092,0.895,0.567,6.548,182.850
101,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,not_reached,0.430,34,0.242,28,0.141,0,0.788,0.813,0.166,0.167,0.166,0.002,0.227,0.600,5.872,190.483
102,successful,success,true,true,true,false,77,85,22,33,0.889,119,0.922,113,0.157,0,0.669,0.853,0.864,0.867,0.864,0.002,0.885,0.600,7.057,188.717
103,successful,success,true,true,true,false,75,82,72,25,0.927,106,0.913,114,0.166,0,0.842,0.805,0.857,0.819,0.819,0.038,0.863,0.587,6.828,185.869
104,unsuccessful,flat,false,false,false,false,not_reached,not_reached,29,50,0.552,33,0.308,117,0.164,0,0.874,0.856,0.232,0.264,0.232,0.032,0.293,0.588,5.876,183.560
105,unsuccessful,gravity_without_vertical,false,true,false,false,104,116,102,22,0.805,116,0.787,116,0.164,0,0.796,0.869,0.732,0.718,0.718,0.014,0.721,0.571,6.488,188.625
106,unsuccessful,flat,false,false,false,false,not_reached,not_reached,36,17,0.581,52,0.307,25,0.177,0,0.798,0.853,0.162,0.182,0.162,0.020,0.257,0.593,5.859,189.200
107,unsuccessful,flat,false,false,false,false,not_reached,not_reached,40,not_reached,0.589,50,0.249,92,0.151,0,0.805,0.830,0.235,0.228,0.228,0.007,0.150,0.619,5.960,193.471
108,successful,success,true,true,true,false,80,69,45,47,0.910,77,0.879,111,0.164,0,0.666,0.799,0.858,0.873,0.858,0.015,0.867,0.568,6.628,184.269
109,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,53,0.486,67,0.389,68,0.155,0,0.738,0.839,0.100,0.238,0.100,0.138,0.250,0.610,5.960,200.172
110,unsuccessful,flat,false,false,false,false,not_reached,not_reached,46,82,0.531,55,0.316,101,0.150,0,0.787,0.738,0.118,0.253,0.118,0.135,0.319,0.583,5.740,182.220
111,unsuccessful,flat,false,false,false,false,not_reached,not_reached,79,23,0.599,83,0.389,103,0.165,0,0.767,0.760,0.178,0.193,0.178,0.015,0.293,0.572,5.632,185.079
112,unsuccessful,partial_transposition,false,false,false,false,not_reached,not_reached,23,86,0.605,32,0.335,108,0.160,0,0.710,0.809,0.319,0.350,0.319,0.031,0.186,0.582,5.505,183.131
113,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,26,0.426,102,0.289,36,0.173,0,0.789,0.832,0.198,0.252,0.198,0.054,0.347,0.585,5.816,189.026
114,successful,success,true,true,true,false,60,42,31,33,0.910,120,0.886,94,0.170,0,0.776,0.871,0.847,0.897,0.847,0.051,0.910,0.604,7.226,166.676
115,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,47,0.377,89,0.289,54,0.157,0,0.808,0.911,0.128,0.172,0.128,0.043,0.173,0.626,6.141,196.979
116,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,20,0.383,118,0.370,95,0.149,0,0.880,0.793,0.202,0.234,0.202,0.032,0.376,0.552,5.502,181.716
117,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,94,0.473,53,0.274,94,0.150,0,0.859,0.753,0.170,0.208,0.170,0.038,0.131,0.593,5.588,186.865
118,unsuccessful,flat,false,false,false,false,not_reached,not_reached,29,68,0.621,43,0.273,74,0.149,0,0.824,0.885,0.202,0.174,0.174,0.027,0.237,0.614,5.997,176.446
119,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,82,0.387,95,0.273,83,0.162,0,0.834,0.839,0.140,0.230,0.140,0.090,0.227,0.602,5.960,177.403
120,unsuccessful,flat,false,false,false,false,not_reached,not_reached,not_reached,27,0.394,49,0.290,28,0.168,0,0.823,0.901,0.191,0.210,0.191,0.019,0.140,0.629,6.139,95.870
