point,parameter,parameter_value,is_baseline,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
baseline,baseline,baseline,true,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_5,food_site_count,5,false,5,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_6,food_site_count,6,false,6,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_7,food_site_count,7,false,7,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_9,food_site_count,9,false,9,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
food_site_count_10,food_site_count,10,false,10,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
mutation_sd_0p050,mutation_sd,0.050,false,8,0.270,9,1.000,0.600,6.500,0.055,0.050,1.000
mutation_sd_0p060,mutation_sd,0.060,false,8,0.270,9,1.000,0.600,6.500,0.055,0.060,1.000
mutation_sd_0p070,mutation_sd,0.070,false,8,0.270,9,1.000,0.600,6.500,0.055,0.070,1.000
mutation_sd_0p080,mutation_sd,0.080,false,8,0.270,9,1.000,0.600,6.500,0.055,0.080,1.000
mutation_sd_0p100,mutation_sd,0.100,false,8,0.270,9,1.000,0.600,6.500,0.055,0.100,1.000
mutation_sd_0p110,mutation_sd,0.110,false,8,0.270,9,1.000,0.600,6.500,0.055,0.110,1.000
mutation_sd_0p120,mutation_sd,0.120,false,8,0.270,9,1.000,0.600,6.500,0.055,0.120,1.000
mutation_sd_0p130,mutation_sd,0.130,false,8,0.270,9,1.000,0.600,6.500,0.055,0.130,1.000
vertical_comb_benefit_0p480,vertical_comb_benefit,0.480,false,8,0.270,9,1.000,0.480,6.500,0.055,0.090,1.000
vertical_comb_benefit_0p520,vertical_comb_benefit,0.520,false,8,0.270,9,1.000,0.520,6.500,0.055,0.090,1.000
vertical_comb_benefit_0p560,vertical_comb_benefit,0.560,false,8,0.270,9,1.000,0.560,6.500,0.055,0.090,1.000
transposition_mutation_correlation_0p600,transposition_mutation_correlation,0.600,false,8,0.270,9,1.000,0.600,6.500,0.055,0.090,0.600
transposition_mutation_correlation_0p800,transposition_mutation_correlation,0.800,false,8,0.270,9,1.000,0.600,6.500,0.055,0.090,0.800
transposition_mutation_correlation_0p900,transposition_mutation_correlation,0.900,false,8,0.270,9,1.000,0.600,6.500,0.055,0.090,0.900
