initial_comb_tilt,vertical_comb_benefit,vertical_comb_modifier,outcome,runs,mean_gravity_reach_generation,mean_partial_transposition_generation,mean_vertical_loss_generation,mean_last_below_vertical_generation,mean_vertical_below_generations,recovered_vertical_after_loss_fraction,mean_min_success,mean_final_success,mean_final_payoff,mean_final_comb_tilt,mean_final_min_transposition,mean_max_min_transposition_while_vertical,gravity_before_vertical_loss_fraction
1.000,0.050,linear,flat,7,not_reached,52.833,14.000,120.000,106.000,0.000,0.025,0.195,0.725,0.133,0.190,0.160,0.000
1.000,0.050,linear,flat_recovered_collapse,1,not_reached,99.000,20.000,120.000,101.000,0.000,0.016,0.188,0.665,0.090,0.171,0.158,0.000
1.000,0.050,linear,success,2,24.500,20.500,24.000,30.000,3.500,0.500,0.025,0.192,0.718,0.883,0.888,0.940,0.500
1.000,0.100,linear,flat,7,not_reached,62.800,11.857,120.000,107.143,0.000,0.025,0.197,0.753,0.128,0.148,0.140,0.000
1.000,0.100,linear,flat_recovered_collapse,1,not_reached,not_reached,13.000,120.000,98.000,0.000,0.016,0.208,0.876,0.101,0.161,0.184,0.000
1.000,0.100,linear,success,2,26.500,19.000,15.000,36.000,6.000,0.500,0.025,0.194,0.770,0.871,0.897,0.938,0.500
1.000,0.150,linear,flat,5,not_reached,39.200,16.000,120.000,104.800,0.000,0.025,0.194,0.725,0.113,0.219,0.221,0.000
1.000,0.150,linear,flat_recovered_collapse,1,not_reached,16.000,17.000,120.000,104.000,0.000,0.014,0.206,0.835,0.138,0.197,0.311,0.000
1.000,0.150,linear,success,4,26.750,17.750,14.500,17.000,1.750,0.500,0.025,0.195,0.807,0.891,0.878,0.930,0.500
1.000,0.200,linear,flat,9,not_reached,55.500,17.444,120.000,103.000,0.000,0.025,0.195,0.744,0.152,0.177,0.158,0.000
1.000,0.200,linear,flat_recovered_collapse,1,not_reached,not_reached,27.000,120.000,94.000,0.000,0.015,0.201,0.791,0.116,0.180,0.167,0.000
1.000,0.250,linear,flat,7,not_reached,44.667,12.143,120.000,108.143,0.000,0.025,0.197,0.758,0.128,0.166,0.150,0.000
1.000,0.250,linear,success,2,31.000,19.000,not_reached,not_reached,0.000,0.000,0.024,0.194,0.879,0.897,0.900,0.931,1.000
1.000,0.250,linear,success_after_collapse,1,18.000,16.000,7.000,8.000,2.000,1.000,0.015,0.193,0.881,0.905,0.894,0.954,0.000
